Task_ID,Developer_ID,Task_Complexity,Work_Hours,Task_Duration,Errors,Stress_Level,Heart_Rate,Sleep_Quality,Multitasking,Deadline_Pressure,Cognitive_Strain
1,151,Medium,5,3.066464935,3,Medium,63,Average,Yes,High,125
2,192,Medium,9,3.768116723,2,Medium,83,Average,Yes,High,135
3,114,High,11,1.713951566,0,Low,78,Poor,No,Low,125
4,171,Low,4,3.653079646,4,High,89,Good,Yes,Low,130
5,160,Medium,9,1.638333812,3,Medium,81,Good,No,Low,145
6,120,High,4,3.064788519,2,Low,98,Average,No,High,110
7,182,Medium,11,3.077459191,2,Low,99,Good,Yes,High,125
8,186,Low,10,0.564224568,0,Low,86,Good,No,High,80
9,174,Medium,8,1.763708944,0,Low,74,Good,Yes,High,90
10,174,Medium,5,0.568014353,4,Medium,96,Good,Yes,Medium,135
11,187,High,5,3.989822062,4,Low,60,Good,No,Medium,135
12,199,High,5,0.927688666,4,High,71,Good,No,High,175
13,123,Medium,6,2.399838135,1,Medium,68,Average,Yes,Medium,110
14,102,High,8,3.266946836,1,Low,78,Good,Yes,Low,120
15,121,Medium,4,1.204422608,2,Low,77,Average,No,High,90
16,152,Low,5,2.197684338,0,Medium,98,Good,Yes,Low,75
17,101,Low,8,2.626000663,3,Low,70,Good,Yes,Low,100
18,187,Medium,9,1.06071664,0,Low,70,Poor,No,High,95
19,129,Low,4,3.22494411,1,Low,89,Average,No,High,60
20,137,High,10,1.5476776,2,Low,79,Poor,No,Medium,140
21,101,High,6,1.238580767,3,Low,74,Poor,Yes,Low,130
22,163,Low,7,2.454010613,4,Low,84,Average,Yes,Low,105
23,159,Medium,11,1.936097697,4,High,62,Average,No,Medium,185
24,120,High,11,3.721000806,1,Low,85,Average,No,High,135
25,132,High,4,3.580219444,2,Medium,87,Average,No,High,130
26,175,High,10,2.191727322,0,Low,65,Poor,Yes,Medium,120
27,157,Medium,10,1.757423212,1,Low,91,Average,No,Low,110
28,121,High,10,1.639312936,0,Medium,70,Average,No,Low,140
29,188,Medium,9,1.436472681,3,Low,72,Average,Yes,Low,125
30,148,Medium,4,2.405917488,0,Low,76,Average,No,Medium,70
31,190,Low,4,3.317425117,3,Medium,95,Average,Yes,Low,100
32,158,Low,7,1.587648129,2,Low,89,Good,No,Medium,85
33,141,Medium,5,1.165329314,1,Medium,63,Good,No,High,105
34,191,Low,9,2.164193322,0,Low,73,Average,No,High,75
